0, 0, 0
2, 2, 2
4, 4, 4
6, 6, 6
8, 8, 8
10, 10, 10
12, 12, 12
14, 14, 14
16, 16, 16
18, 18, 18
20, 20, 20
22, 22, 22
24, 24, 24
26, 26, 26
28, 28, 28
30, 30, 30
32, 32, 32
34, 34, 34
36, 36, 36
38, 38, 38
40, 40, 40
42, 42, 42
44, 44, 44
46, 46, 46
48, 48, 48
50, 50, 50
52, 52, 52
54, 54, 54
56, 56, 56
58, 58, 58
60, 60, 60
62, 62, 62
0, 0, 0
2, 0, 0
4, 0, 0
6, 0, 0
8, 0, 0
10, 0, 0
12, 0, 0
14, 0, 0
16, 0, 0
18, 0, 0
20, 0, 0
22, 0, 0
24, 0, 0
26, 0, 0
28, 0, 0
30, 0, 0
32, 0, 0
34, 0, 0
36, 0, 0
38, 0, 0
40, 0, 0
42, 0, 0
44, 0, 0
46, 0, 0
48, 0, 0
50, 0, 0
52, 0, 0
54, 0, 0
56, 0, 0
58, 0, 0
60, 0, 0
62, 0, 0
0, 0, 0
0, 2, 0
0, 4, 0
0, 6, 0
0, 8, 0
0, 10, 0
0, 12, 0
0, 14, 0
0, 16, 0
0, 18, 0
0, 20, 0
0, 22, 0
0, 24, 0
0, 26, 0
0, 28, 0
0, 30, 0
0, 32, 0
0, 34, 0
0, 36, 0
0, 38, 0
0, 40, 0
0, 42, 0
0, 44, 0
0, 46, 0
0, 48, 0
0, 50, 0
0, 52, 0
0, 54, 0
0, 56, 0
0, 58, 0
0, 60, 0
0, 62, 0
0, 0, 0
0, 0, 2
0, 0, 4
0, 0, 6
0, 0, 8
0, 0, 10
0, 0, 12
0, 0, 14
0, 0, 16
0, 0, 18
0, 0, 20
0, 0, 22
0, 0, 24
0, 0, 26
0, 0, 28
0, 0, 30
0, 0, 32
0, 0, 34
0, 0, 36
0, 0, 38
0, 0, 40
0, 0, 42
0, 0, 44
0, 0, 46
0, 0, 48
0, 0, 50
0, 0, 52
0, 0, 54
0, 0, 56
0, 0, 58
0, 0, 60
0, 0, 62
0, 0, 0
2, 2, 0
4, 4, 0
6, 6, 0
8, 8, 0
10, 10, 0
12, 12, 0
14, 14, 0
16, 16, 0
18, 18, 0
20, 20, 0
22, 22, 0
24, 24, 0
26, 26, 0
28, 28, 0
30, 30, 0
32, 32, 0
34, 34, 0
36, 36, 0
38, 38, 0
40, 40, 0
42, 42, 0
44, 44, 0
46, 46, 0
48, 48, 0
50, 50, 0
52, 52, 0
54, 54, 0
56, 56, 0
58, 58, 0
60, 60, 0
62, 62, 0
0, 0, 0
0, 2, 2
0, 4, 4
0, 6, 6
0, 8, 8
0, 10, 10
0, 12, 12
0, 14, 14
0, 16, 16
0, 18, 18
0, 20, 20
0, 22, 22
0, 24, 24
0, 26, 26
0, 28, 28
0, 30, 30
0, 32, 32
0, 34, 34
0, 36, 36
0, 38, 38
0, 40, 40
0, 42, 42
0, 44, 44
0, 46, 46
0, 48, 48
0, 50, 50
0, 52, 52
0, 54, 54
0, 56, 56
0, 58, 58
0, 60, 60
0, 62, 62
0, 0, 0
2, 0, 2
4, 0, 4
6, 0, 6
8, 0, 8
10, 0, 10
12, 0, 12
14, 0, 14
16, 0, 16
18, 0, 18
20, 0, 20
22, 0, 22
24, 0, 24
26, 0, 26
28, 0, 28
30, 0, 30
32, 0, 32
34, 0, 34
36, 0, 36
38, 0, 38
40, 0, 40
42, 0, 42
44, 0, 44
46, 0, 46
48, 0, 48
50, 0, 50
52, 0, 52
54, 0, 54
56, 0, 56
58, 0, 58
60, 0, 60
62, 0, 62
0, 0, 0
0, 0, 2
0, 2, 4
0, 2, 6
0, 4, 8
0, 4, 10
0, 6, 12
0, 6, 14
0, 8, 16
0, 8, 18
0, 10, 20
0, 10, 22
0, 12, 24
0, 12, 26
0, 14, 28
0, 14, 30
0, 16, 32
0, 16, 34
0, 18, 36
0, 18, 38
0, 20, 40
0, 20, 42
0, 22, 44
0, 22, 46
0, 24, 48
0, 24, 50
0, 26, 52
0, 26, 54
0, 28, 56
0, 28, 58
0, 30, 60
0, 30, 62
